,player_name,height,weight,birth_date,active_from,active_to,position,years_played_NBA,college,NBA_g_played,NBA_per,NBA_fg%,NBA_ppg,NBA_ft%,NBA_fgpg,NBA_fgapg,NBA_ftpg,NBA_ftapg,NBA_3ptpg,NBA_3ptapg,NBA_3pt%,NBA_efg%,NCAA_fg%,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA_3ptpg,NCAA_3ptapg,NCAA_3pt%,go_college
149,Ömer Aşık,84,255.0,1986-07-04,2011,2018,C,7,nan,471,13.4,0.528,5.3,0.551,2.0,3.8,1.2,2.3,0.0,0.0,0.0,0.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
150,Vincent Askew,78,210.0,1966-02-28,1988,1998,G-F,10,Memphis,467,12.6,0.479,7.1,0.754,2.6,5.4,1.7,2.3,0.2,0.5,0.3,0.494,0.492,103.0,11.4,0.751,4.4,8.9,2.4,3.2,,,0.381,True
151,Keith Askins,79,197.0,1967-12-15,1991,1999,G-F,8,Alabama,486,9.2,0.401,3.8,0.717,1.4,3.5,0.5,0.6,0.6,1.6,0.355,0.483,0.446,128.0,6.7,0.658,2.3,5.2,1.1,1.7,0.8,2.1,0.4,True
152,Don Asmonga,74,185.0,1928-02-15,1954,1954,G,0,Alliance College,7,-7.6,0.133,0.7,1.0,0.3,2.1,0.1,0.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
153,Dick Atha,74,190.0,1931-09-21,1956,1958,G,2,Indiana State University,43,10.5,0.393,3.2,0.795,1.2,3.1,0.7,0.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
154,Chucky Atkins,71,160.0,1974-08-14,2000,2010,G,10,South Florida,696,13.1,0.412,9.9,0.772,3.6,8.7,1.4,1.8,1.3,3.7,0.364,0.489,0.41,111.0,14.6,0.737,4.7,11.6,2.9,3.9,2.2,6.1,0.362,True
155,Al Attles,72,175.0,1936-11-07,1961,1971,G,10,North Carolina A&T,711,11.3,0.451,8.9,0.632,3.5,7.8,1.9,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
156,Chet Aubuchon,70,137.0,1916-05-18,1947,1947,G,0,Michigan State,30,-,0.253,2.2,0.543,0.8,3.0,0.6,1.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
157,Stacey Augmon,80,205.0,1968-08-01,1992,2006,F-G,14,UNLV,1001,13.7,0.469,8.0,0.728,3.0,6.5,1.9,2.6,0.0,0.1,0.152,0.47,0.555,145.0,13.9,0.677,5.2,9.4,2.8,4.1,0.7,1.6,0.42,True
158,D.J. Augustin,71,183.0,1987-11-10,2009,2022,G,13,Texas,938,14.1,0.411,9.6,0.867,3.1,7.6,2.1,2.4,1.3,3.4,0.379,0.496,0.443,73.0,16.9,0.808,5.4,12.2,4.4,5.5,1.6,4.1,0.402,True
